,mbti,first_comment,second_comment,third_comment
0,N,어떠한 과정을 거쳐 변화되었는지 주변에 마법사가 생겼는지 찾아본다,피 안빨면 같이 살게 해준다,머리에 물을 준다!
1,N,1.망했,2.망했,3.망했
2,N,1 설마 진짜 기타가 젤리로 변하진 않았을거라고 생각하고 가족들한테 이 장난 누가 친거냐고 물어본다,2 고민해본다,3 사진을 찍은 뒤 살살 당겨보고 괜찮을것같으면 뽑는다
3,N,1. 연주해본다,2. 나를 괴롭히지 않는다는 계약서를 쓴다,3. 물은 어떻게 주지 고민한다
4,S,1.먹는다,2.싫다,3.자른다
5,N,1. 일단 다시 돌아올 수 잇으니 모셔둔다,2. 감금,3. 뽑히나?
6,S,1. 어쩔 수 없다,2. 싫다,3. ㅇㅅㅇ ..
7,N,1.일단 놔둔다,2. 꺼지라고한다,3. 주변사람에게 알린다..
8,N,1. 줄도 젤리인지 먹어본다.,2. 가둬둔다.,3. 꽃인간이 된건가 생각해본다.
9,S,1. 뭔소리지,2. 뭔소리지,3. 뭔소리지
10,N,1. 먹었,2. 꿈에서 깼,3. 태양을 향했
11,S,먹었다,싫다,해바라기다
12,S,다시 기타로 되돌릴 방법을 찾아본다,나를 절대 물지 않을 것이냐는 약속을 받는다,좋다고 사방팔방 자랑하고 다닌다
13,S,기타가 더 비싼데 쫌 손해,모기 가둬놓자..,잘라도 안아픈가? 구조가 어떻게된건지 확인
14,N,1. 딱 한입만 먹어본다,2. 거절하고 유리컵에 가둔다,3. 사진찍고 꺾어서 버린다
15,N,돈 아깝구 짜증난다!,함 싸워본다…,친구한테 자랑한당
16,S,나는 이제 기타가 없다,나는 거절한다,나는 거울을 본다
17,N,나는 너무 슬퍼서 울러버렸다,나는 내 피를 먹지않겠다면 그러자고 했다,나는 다른 사람 정수리에는 어떤 꽃이 폈을지 궁금해졌다
18,N,1 매일 다시돌아오라고 기도한다(아주간절하게ㅠㅠ),2 나 안물면 같이살다가 같이 방송출연할듯,3 물주고 잘키운다 무럭무럭자라야한다~^^
19,S,1. 아 기타값이 얼만데 젤리로 다시 되돌릴 방법 강구하기,"2. 어떻게든 죽여서 없애기 근데 말도 하는 거면 나는 지낼 곳 마련, 모기는 다른 모기들로부터 지켜주기로 딜하기",3. 꺾어서 없애기
20,N,1. 크기는 그대로인가 기타의 기능을 할수있나 생각한다,2. 나도 모기의 모습으로 사는게 조건인건가 생각한가,3. 내 머릿속 어느 부분에 씨가 존재하는가 생각한다
21,N,나는 힝구리퐁퐁이다.,나는 니가 싫다.,나는 싹둑 자를 것이다.
22,S,1. 놔두고 기다린다,2. 싫다고 말한다 ,2. 병원에 간다
23,S,1. 뭐야 이게,2. 미칫나,3. 꿈인가
24,S,입에 넣는다. ,죽었다. ,흙이다.
25,S,"1. 왜 젤리로 변하고 @@이야,,, 하면서 놔 둠",2. 싫다고 함,3. 이거 자르면 나도 죽을까하고 고민함
26,S,1.먹는다..,2.거절한다..,3.엥??? 라는 생각만 들다가 자른다... 생각함
27,S,먹는다,거절한다,사진찍고 뽑는다
28,S,1.어이가 없다,2.불쾌하다 거절할것이다,3.무거울것같아서 뽑아버릴수도있다
29,N,1. 맛만본다,2. 미쳤,3. 분무기로 물도 뿌려보고 햇빛에도 쬐여본다
30,S,1.먹는다,2.꺼지라고한다,3.셀카찍는다
31,S,1. 엥 ... 젤리 먹고 기타 새로 산다,2. 엥..? 일단 전기파리채로 죽인다,3. 엥??? 뽑는다?
32,S,1. 조금씩 뜯어 먹는다,2. 내 피는 빨아먹지 않기로 협상한다,3. 사진찍어 올리고 유퀴즈에서 연락올 때까지 기다린다
33,N,1. 먹어본다,2. 꺼지라고 한다,3. 이제 인싸다
34,N,1. 먹어 본다,2. 나는 물지말고 시키는 애 물어라한다,3. 뽑아본다. 피나나?
35,S,1. 짜증난다,2. 싫다,3. 무섭다
36,N,1. 일단 고이 모셔둔다 다시 변할 수도 있으니까,2. 암컷인지 수컷인지 알아본다(암컷이면 내 피를 빨 수도 있으니까) 내 피를 안 빨고 월세를 일부 부담하고 내가 잘때 근처에서 돌아다니지 않는다는 전제 하에 허락함,3.일단 모자를 쓰고 병원에 가서 해결방법을 알아본다
37,S,1.싫다,2.망했다,3.이상하다
38,S,기타젤리다,같이 안산다(사유:징그러움),해바라기프로펠러다
39,S,1. 기타가 젤리로 변하면 나는 ‘어리둥절’하다,2. 불사조 모기가 같이 살자고 하면 나는 ‘싫다고 말한다’,3. 정수리에 해바라기가 피면 나는 ‘뗀다’
40,N,1-슬프지만상하기전에먹는다,2-안물면같이산다고한다,3-사진동영상찍고떼어서꽃병에넣어놓고인터넷에글올린다
41,S,1. 나는 짜증 난다......,2. 나는 큰일 났다......,3. 나는 머리카락 자라는 화분이다......
42,N,"1. 유튜브에 올리거나 제보하고 비싸게 판다, 먼지가 안 묻게 잘 보관한다",2. 모기가 나랑 어떻게 대화했지? 말이 가능한 모기인가 아니면 모스부호같은 걸 날면서 표현하나,3. 키를 다시 잰다 (앗사 키컸다!)
43,N,1. 젤리가 다시 기타로 변할 때까지 젤리가 기억할 만한 음악을 들려주며 기다린다. 젤리를 신나게 한다.,2. 같이 살고싶다면 나를 위해 죽어줄 수도 있냐고 물어본다.,3. 우선 사진을 찍고 친구들한테 달려가 자랑한다.
44,S,1. 조금씩 뜯어먹어본다,2. 정중하게 거절한다,3. 이상태로 과연 출근할 수 있을까 고민한다
45,S,1. '아이고 내 돈'하며 운다,2. 욕하며 때려잡는다,3. 어느 병원에 가봐야할지 고민하다가 응급실 간다
46,N,먹는다,뱀파이어다,화분이다
47,N,먹어본다,싫다고한다,슬프다
48,S,속상하다,절대 안 된다,주변에 자랑하고 물 줘본다
49,N,1. 다시 변할 수 있으니까 기다린다,2. 도망친다,3. 잘라도 될지 고민하다 미용실에 간다
50,N,1. 좌절했다가 어떻게 하면 원래대로 돌아갈지 고민한다.,2. 왜 같이 살자 하는 건지 물어본다.,3. 사진 찍는다.
51,S,1. 살짝 뜯어먹어본다.,2. 다른 집 가라고 한다.,3. 셀카 한번 찍고 뽑아버린다.
52,S,보관한다,싫다,뽑는다
53,N,굴금해하다가 잘 간직,싫,처음엔 신기해서 사진찍어서 주변에 공유 하다가 안뽑히거나 안사라지면 평생 이렇게 살아야하나 해서 울거같음
54,N,1. 마법사,2. 나랑...왜...? 근데 말을 하는거니 지금..?,3. 엥 이거 근데 물 안주면 죽나
55,S,먹는다,물지 말라한다,스크롤을 내렸다
56,N,젤리다,모기장을 산다,꽃이다
57,S,1. 기타가 아깝,2. 싫다고 한,3. 울었
58,N,무슨 맛일까 나는 단거 안 좋아하는데 언제 다 먹지 이거 다 먹으면 당뇨 오겠는데,잠적한다,잘라서 꽃병에 꽂는다
59,S,먹는다,거절한다,뽑는다
60,S,당황스럽다,거절한다,자른다
61,S,1. 엉엉 운다,2. 싫다고 욕 한다,3. 창피해서 어디 나갈 수가 없다
62,S,먹었다,쫓아냈다,병원에 갔다
63,S,돈이 아깝다,싫,뜯어내려고 애를 쓴 후 사진을 찍고 병원 가본다
64,N,젤리에서 소리가 나나 분석해본다,이왕 이렇게된거 모기를 활용해 돈벌 방법을 궁리해보고 수익창출이 된다면 동거한다,틱톡영상을 찍어 관심종자가 된다
65,S,이게뭐지?,극혐한다,이게뭐지?
66,S,믿을 수 없다 기타를 다시 찾아본다,싫다고 한다,잘라낸다
67,S,망가지지않게 냉장고에 넣어둔다,거절한다,꿈인가 생각한다
68,N,당황스럽다,절대 빠져나오지 못하게 가둬둔다,병원에 가본다
69,N,그걸 다 먹어야겠다,소통이 된다면 친구가 될 수 있을텐데 그럼 날 냅두지 않을까,광합성 하러 밖에 나간다
70,S,젤리로 변한 기타를 맛본,먹이를 보장해 줄 수 없다고 한 후 그럼에도 불구하고 같이 살고싶다고 한다면 인간을 먹이로 삼지 않는다면 허락한,병원에 가야할지 고민한
71,N,1. 아까우니 버리진 못하겠어서 먹었다.,2. 알겠다고 하고 유리병 안에 가뒀다.,3. 신기해하면서 인스타에 올리고 햇빛을 쬔다.
72,S,1. 먹어버린다,2. 내쫓는다,3. 병원에 간다
73,N,1. 신기하다,2. 대화가 통할 정도면 이것저것 윤택한 삶을 위한 활용이 가능 할 것 같다,3. 불편하다
